order_id,customer_id,product_id,quantity,unit_price,order_date,status,total_value,name,state,category,gross_margin,order_year,order_month,gross_profit
DE4EF3DD-5BC,3886DA6A,PROD-0068,5,989.44,2025-11-26 08:45:18,pending,4947.2,Maria Alice Sales,RS,Casa & Jardim,0.5545,2025,11,2743.22
A5234B8F-940,0778F2B1,PROD-0013,5,1196.83,2026-01-14 13:00:02,cancelled,5984.15,Ana Sophia Sá,BA,Livros,0.6644,2026,1,3975.87
A55C3466-24D,A2DB22E0,PROD-0028,2,1217.31,2026-03-11 21:18:08,pending,2434.62,Sr. Ravi Lucca Ferreira,BA,Casa & Jardim,0.6125,2026,3,1491.2
621D2896-A94,55C07B81,PROD-0044,4,1295.34,2025-04-22 18:49:41,cancelled,5181.36,Hellena Da Cruz,SP,Roupas,0.6333,2025,4,3281.36
18C3A779-407,CE7762CF,PROD-0013,3,1196.83,2025-04-14 06:57:41,completed,3590.49,Luiz Henrique Cunha,BA,Livros,0.6644,2025,4,2385.52
47F7714D-022,078C89ED,PROD-0020,1,73.64,2025-10-19 14:25:09,completed,73.64,Ana Liz Mendes,BA,Casa & Jardim,0.4113,2025,10,30.29
8C2AB9AE-9AD,FDB8D7CB,PROD-0011,3,236.83,2026-01-21 17:25:47,completed,710.49,Paulo Costela,PE,Livros,0.5215,2026,1,370.52
A47BD748-883,97D3A2B3,PROD-0072,5,361.57,2025-07-20 02:46:31,shipped,1807.85,Breno Freitas,RS,Eletrônicos,0.3142,2025,7,568.03
34C8A782-201,4A4129FA,PROD-0043,3,100.63,2026-01-31 23:11:58,cancelled,301.89,Bruna Das Neves,GO,Eletrônicos,0.6127,2026,1,184.97
1D190B84-369,A52A85D2,PROD-0097,1,1397.96,2026-03-30 15:03:57,completed,1397.96,Joaquim Fogaça,BA,Eletrônicos,0.6565,2026,3,917.76
01562623-840,B96A0DB3,PROD-0077,5,218.76,2025-12-24 13:07:30,shipped,1093.8,Joana Jesus,CE,Roupas,0.4555,2025,12,498.23
B88DB577-5F3,531DB346,PROD-0028,2,1217.31,2025-11-25 18:47:56,completed,2434.62,Allana Da Luz,GO,Casa & Jardim,0.6125,2025,11,1491.2
BD042627-D78,C8E6A401,PROD-0045,1,473.4,2025-04-18 19:24:03,completed,473.4,Sr. Dom Fogaça,RJ,Roupas,0.3398,2025,4,160.86
A6D299E3-22E,E9C5B7A0,PROD-0074,5,656.29,2025-11-21 18:37:07,shipped,3281.45,Maria Cecília Garcia,SC,Esportes,0.5537,2025,11,1816.94
F8AB8A7B-CD9,7C56AB7D,PROD-0079,1,938.31,2025-12-06 05:59:08,shipped,938.31,Luiz Miguel Borges,PE,Casa & Jardim,0.605,2025,12,567.68
451E2CE9-5C7,D0D181D7,PROD-0085,1,99.54,2025-12-03 20:19:20,completed,99.54,Mathias Porto,MG,Esportes,0.3218,2025,12,32.03
8956EEC7-4B8,E38876F9,PROD-0035,3,1025.64,2025-09-29 19:02:47,completed,3076.92,Ana Clara Garcia,RJ,Livros,0.5574,2025,9,1715.08
4F6FF8BC-C4D,651D8E21,PROD-0001,5,962.94,2026-02-01 18:16:45,cancelled,4814.7,Dr. Felipe Monteiro,MG,Roupas,0.5868,2026,2,2825.27
6ABF5918-629,7D02FA8B,PROD-0052,1,827.9,2026-03-03 18:22:01,completed,827.9,Ian Almeida,MG,Eletrônicos,0.5665,2026,3,469.01
86441B47-5AA,44D088B0,PROD-0096,4,219.0,2025-07-29 21:44:47,pending,876.0,Maria Clara Carvalho,PR,Livros,0.2869,2025,7,251.32
0D410E56-7C9,223594A7,PROD-0044,3,1295.34,2025-07-11 05:44:08,shipped,3886.02,Bryan Ferreira,PR,Roupas,0.6333,2025,7,2461.02
59804F61-8B0,5F5F655F,PROD-0077,2,218.76,2025-08-09 00:35:39,completed,437.52,Eloá Araújo,BA,Roupas,0.4555,2025,8,199.29
43B7DC6D-2B7,CF9E4C0D,PROD-0097,1,1397.96,2025-05-09 16:25:54,completed,1397.96,Sra. Maria Sophia Souza,RJ,Eletrônicos,0.6565,2025,5,917.76
15DCB5CC-020,F3163D1E,PROD-0057,5,51.71,2025-05-09 17:27:14,pending,258.55,Lara Rios,RJ,Casa & Jardim,0.2433,2025,5,62.91
D6F2E96A-05C,032DCDC9,PROD-0054,5,1034.07,2026-01-15 00:49:17,completed,5170.35,Henry Ferreira,SC,Livros,0.6254,2026,1,3233.54
23D4E41F-2A8,4640285E,PROD-0045,5,473.4,2026-04-06 16:05:57,pending,2367.0,Valentim Cardoso,PE,Roupas,0.3398,2026,4,804.31
64907019-865,06979CB6,PROD-0068,2,989.44,2026-03-10 17:59:14,pending,1978.88,Luara Monteiro,RS,Casa & Jardim,0.5545,2026,3,1097.29
269E29E2-5EE,A8612291,PROD-0077,3,218.76,2026-04-08 11:01:38,completed,656.28,João Gabriel Moreira,CE,Roupas,0.4555,2026,4,298.94
6F834170-744,83A300A1,PROD-0099,3,72.1,2025-04-20 03:17:32,completed,216.3,Arthur Miguel Carvalho,PE,Roupas,0.3732,2025,4,80.72
E3DAC2D8-88C,2A922016,PROD-0017,2,770.52,2026-02-16 01:17:23,shipped,1541.04,Isabelly Dias,GO,Esportes,0.5158,2026,2,794.87
94BA29B9-6E7,1A126632,PROD-0072,3,361.57,2026-01-05 18:12:21,completed,1084.71,Pedro Henrique Oliveira,RJ,Eletrônicos,0.3142,2026,1,340.82
0B103698-840,7DAB2886,PROD-0051,4,572.59,2025-06-28 21:17:28,completed,2290.36,Sarah Alves,PE,Esportes,0.4935,2025,6,1130.29
44A63422-F2B,A34065EF,PROD-0059,3,1202.64,2026-03-08 00:24:27,shipped,3607.92,Dr. Rael Casa Grande,SP,Esportes,0.6004,2026,3,2166.2
B84229B7-6C4,B3D8E6E4,PROD-0055,4,1049.9,2025-08-17 00:43:34,completed,4199.6,Juliana Pires,RJ,Livros,0.6198,2025,8,2602.91
0C92185D-892,E7D527F6,PROD-0015,3,731.27,2025-04-27 12:36:14,completed,2193.81,Anna Liz Machado,GO,Livros,0.5063,2025,4,1110.73
8B45D989-9E4,9F6FBBA1,PROD-0080,3,1130.47,2025-10-27 05:32:00,completed,3391.41,Liam Farias,BA,Livros,0.5679,2025,10,1925.98
64A10BC9-6EE,3C82421F,PROD-0056,4,428.84,2025-12-05 13:14:50,shipped,1715.36,Maria Vitória Leão,GO,Esportes,0.5876,2025,12,1007.95
58619690-2E3,8ED46BC1,PROD-0052,3,827.9,2026-02-28 23:33:38,cancelled,2483.7,Sr. Murilo Câmara,RS,Eletrônicos,0.5665,2026,2,1407.02
8C4B3B7D-43E,AD43AD72,PROD-0044,2,1295.34,2025-07-23 10:15:04,completed,2590.68,Cecília Nunes,SC,Roupas,0.6333,2025,7,1640.68
8BF4BB12-775,72EEF5E6,PROD-0066,5,907.35,2026-03-23 11:22:54,completed,4536.75,Júlia Camargo,MG,Roupas,0.5303,2026,3,2405.84
375E45A3-974,0836284C,PROD-0100,2,84.09,2025-10-23 09:36:56,completed,168.18,Sr. Asafe Freitas,GO,Eletrônicos,0.4986,2025,10,83.85
B036EAA8-CA9,D23661B0,PROD-0014,2,701.87,2025-11-14 00:23:30,shipped,1403.74,Lucas Da Luz,PE,Esportes,0.5729,2025,11,804.2
D5DF061F-C59,2A23ACB8,PROD-0020,1,73.64,2025-08-18 19:50:44,completed,73.64,Caio Freitas,BA,Casa & Jardim,0.4113,2025,8,30.29
584433CE-849,7EE27134,PROD-0099,5,72.1,2025-09-22 08:35:15,shipped,360.5,Bruno Almeida,PE,Roupas,0.3732,2025,9,134.54
41771311-155,8BEF4F1D,PROD-0058,5,315.01,2026-02-04 15:01:08,cancelled,1575.05,João Gabriel Da Rosa,SC,Esportes,0.3241,2026,2,510.47
948D17F4-91D,7CA2680F,PROD-0082,3,243.15,2026-01-23 03:18:40,completed,729.45,Erick Farias,RJ,Casa & Jardim,0.2447,2026,1,178.5
EBC9ACAD-B70,49934CE0,PROD-0057,3,51.71,2025-12-13 10:04:11,completed,155.13,Melissa Fogaça,SC,Casa & Jardim,0.2433,2025,12,37.74
5F7896C9-01B,E35F4DE7,PROD-0076,1,642.74,2025-06-02 21:10:26,completed,642.74,Sabrina Santos,SC,Casa & Jardim,0.4509,2025,6,289.81
9AAAE870-381,68219C50,PROD-0060,3,648.76,2025-08-11 06:16:35,completed,1946.28,Heloísa Teixeira,SC,Livros,0.66,2025,8,1284.54
AC7BE46B-3C8,07AE845B,PROD-0010,1,1130.44,2025-06-20 20:25:34,shipped,1130.44,Davi Lucas Fogaça,BA,Eletrônicos,0.6188,2025,6,699.52
CED16C1B-8B2,ECEDFFFA,PROD-0077,5,218.76,2026-02-09 13:24:33,shipped,1093.8,Yasmin Mendonça,RS,Roupas,0.4555,2026,2,498.23
F0057DC2-5F0,15AC3337,PROD-0095,5,453.99,2025-11-16 13:45:56,cancelled,2269.95,Laura Rodrigues,SP,Livros,0.6648,2025,11,1509.06
4DE95066-2FF,1100DE7B,PROD-0025,5,210.69,2026-03-12 07:05:28,completed,1053.45,Hellena Novaes,GO,Esportes,0.4903,2026,3,516.51
7D62547C-3CF,46446445,PROD-0008,3,334.5,2026-04-02 13:49:14,cancelled,1003.5,Maya Lopes,GO,Esportes,0.4168,2026,4,418.26
1EECFDEE-C10,BE986001,PROD-0011,1,236.83,2025-06-15 16:56:56,completed,236.83,Nicole Martins,BA,Livros,0.5215,2025,6,123.51
0981F660-F77,5C5FBDBB,PROD-0091,5,587.34,2025-11-08 12:34:50,shipped,2936.7,Ryan Costela,PR,Casa & Jardim,0.3079,2025,11,904.21
B2C5B11B-894,66C16993,PROD-0079,3,938.31,2026-03-01 09:34:16,pending,2814.93,Yasmin Dias,RS,Casa & Jardim,0.605,2026,3,1703.03
6DFC19C1-258,7A582466,PROD-0053,5,613.06,2026-04-07 21:19:28,completed,3065.3,Vitor Rodrigues,BA,Roupas,0.3212,2026,4,984.57
90B5F956-BD0,FAFB634B,PROD-0081,3,884.4,2025-04-29 18:51:59,completed,2653.2,Mathias Aragão,RS,Roupas,0.4456,2025,4,1182.27
C12D0344-0BF,4640285E,PROD-0072,3,361.57,2026-03-20 19:25:17,cancelled,1084.71,Valentim Cardoso,PE,Eletrônicos,0.3142,2026,3,340.82
